Epoch0 Val K=5  f1:0.010957618213239559  hr:0.014934057408844065
Epoch0 Val K=10  f1:0.01225516487482802  hr:0.02773467804499612
Epoch0 Val K=15  f1:0.01387259708548763  hr:0.04014740108611327
Epoch0 Val K=20  f1:0.014333821628583767  hr:0.051008533747090766
Epoch0 Val K=25  f1:0.014856803499805102  hr:0.061675717610550816
Epoch0 Val K=30  f1:0.015223743433542188  hr:0.07292474786656322

Epoch1 Val K=5  f1:0.00682374217266981  hr:0.011636927851047323
Epoch1 Val K=10  f1:0.00981956387868177  hr:0.02307990690457719
Epoch1 Val K=15  f1:0.011552386246408575  hr:0.03413498836307215
Epoch1 Val K=20  f1:0.013148435439438595  hr:0.04712955779674166
Epoch1 Val K=25  f1:0.01384983189625661  hr:0.05799069045771916
Epoch1 Val K=30  f1:0.015323144330178819  hr:0.07292474786656322

Epoch2 Val K=5  f1:0.00816772005718067  hr:0.012024825446082235
Epoch2 Val K=10  f1:0.011023668052111562  hr:0.02404965089216447
Epoch2 Val K=15  f1:0.011556305452650078  hr:0.03277734678044996
Epoch2 Val K=20  f1:0.012888150336430896  hr:0.04499612102404965
Epoch2 Val K=25  f1:0.014131248151089477  hr:0.058378588052754074
Epoch2 Val K=30  f1:0.0144641071082199  hr:0.0682699767261443

Epoch3 Val K=5  f1:0.009187473783136441  hr:0.0126066718386346
Epoch3 Val K=10  f1:0.010165088233177692  hr:0.02114041892940264
Epoch3 Val K=15  f1:0.012063074845700444  hr:0.0343289371605896
Epoch3 Val K=20  f1:0.012744468954561744  hr:0.04499612102404965
Epoch3 Val K=25  f1:0.012454343328763143  hr:0.0521722265321955
Epoch3 Val K=30  f1:0.012903936211619622  hr:0.061675717610550816

Epoch4 Val K=5  f1:0.0073505877714802655  hr:0.009503491078355315
Epoch4 Val K=10  f1:0.010234806691222106  hr:0.02114041892940264
Epoch4 Val K=15  f1:0.010941167506091315  hr:0.030837858805275408
Epoch4 Val K=20  f1:0.011445734425042207  hr:0.04014740108611327
Epoch4 Val K=25  f1:0.011902852270128021  hr:0.048875096974398756
Epoch4 Val K=30  f1:0.012199682873886683  hr:0.05721489526764934

Epoch5 Val K=5  f1:0.008287476202545335  hr:0.011442979053529869
Epoch5 Val K=10  f1:0.010479809773858512  hr:0.021722265321955005
Epoch5 Val K=15  f1:0.01196346917007819  hr:0.03316524437548487
Epoch5 Val K=20  f1:0.011787838510608861  hr:0.03995345228859581
Epoch5 Val K=25  f1:0.012321606009146759  hr:0.05003878975950349
Epoch5 Val K=30  f1:0.012201638334354068  hr:0.05721489526764934

Epoch6 Val K=5  f1:0.005884304380002318  hr:0.00795190069821567
Epoch6 Val K=10  f1:0.007812281273775422  hr:0.016485647788983707
Epoch6 Val K=15  f1:0.008506898428201883  hr:0.024243599689681924
Epoch6 Val K=20  f1:0.009771807263752545  hr:0.033553141970519784
Epoch6 Val K=25  f1:0.01050063076267999  hr:0.04266873545384019
Epoch6 Val K=30  f1:0.01127216944610469  hr:0.0521722265321955

Epoch7 Val K=5  f1:0.005254054713289811  hr:0.008339798293250583
Epoch7 Val K=10  f1:0.00753674597100329  hr:0.015709852598913887
Epoch7 Val K=15  f1:0.00861216288394211  hr:0.023467804499612104
Epoch7 Val K=20  f1:0.009231276419487712  hr:0.030837858805275408
Epoch7 Val K=25  f1:0.009889337604112007  hr:0.03917765709852599
Epoch7 Val K=30  f1:0.01026124841528981  hr:0.04693560899922421

Epoch8 Val K=5  f1:0.004806758456120856  hr:0.0071761055081458495
Epoch8 Val K=10  f1:0.007465331987954822  hr:0.01590380139643134
Epoch8 Val K=15  f1:0.009456458778355424  hr:0.025989138867339022
Epoch8 Val K=20  f1:0.009537963645787276  hr:0.03277734678044996
Epoch8 Val K=25  f1:0.010139031824176208  hr:0.041117145073700546
Epoch8 Val K=30  f1:0.010120479146778594  hr:0.04751745539177657

Epoch9 Val K=5  f1:0.006647533503280293  hr:0.009891388673390225
Epoch9 Val K=10  f1:0.010078750538548256  hr:0.022498060512024826
Epoch9 Val K=15  f1:0.0114712052173381  hr:0.03374709076803724
Epoch9 Val K=20  f1:0.012331053532472496  hr:0.043638479441427465
Epoch9 Val K=25  f1:0.013189612081460408  hr:0.054693560899922423
Epoch9 Val K=30  f1:0.013385964612652207  hr:0.06342125678820791

Epoch10 Val K=5  f1:0.010232104422747102  hr:0.013382467028704423
Epoch10 Val K=10  f1:0.010100484183247892  hr:0.020752521334367727
Epoch10 Val K=15  f1:0.010831423746371258  hr:0.029286268425135764
Epoch10 Val K=20  f1:0.012558854813796975  hr:0.04247478665632273
Epoch10 Val K=25  f1:0.012704537714259213  hr:0.05120248254460822
Epoch10 Val K=30  f1:0.012944839396300329  hr:0.059930178432893715

Test K=5  f1:0.007737038335415618  hr:0.010011778563015312
Test K=10  f1:0.011098775591662271  hr:0.02237926972909305
Test K=15  f1:0.012329311078891105  hr:0.03297997644287397
Test K=20  f1:0.013042967313015847  hr:0.04279544562230075
Test K=25  f1:0.013152137868191435  hr:0.05143305850019631
Test K=30  f1:0.01396221103488013  hr:0.06301531213191991

